,Strategy,Symbol,Date,option,Qty,ExpiryDt,Strike,EnTime,BPrice,ExTime,SPrice
133,EMA_15_CE_strategy,NIFTY,2022-07-14,CE,50,2022-07-14,16000,09:45:00,70.8,11:15:00,40.4
134,EMA_15_CE_strategy,NIFTY,2022-07-15,CE,50,2022-07-21,16000,13:00:00,113.65,13:45:00,103.2
135,EMA_15_CE_strategy,NIFTY,2022-07-15,CE,50,2022-07-21,16000,14:00:00,113.4,15:15:00,157.8
136,EMA_15_CE_strategy,NIFTY,2022-07-19,CE,50,2022-07-21,16300,12:15:00,88.45,13:15:00,67.15
137,EMA_15_CE_strategy,NIFTY,2022-07-19,CE,50,2022-07-21,16300,13:45:00,83.5,15:15:00,101.45
138,EMA_15_CE_strategy,NIFTY,2022-07-25,CE,50,2022-07-28,16600,14:00:00,115.9,15:15:00,123.75
139,EMA_15_CE_strategy,NIFTY,2022-07-27,CE,50,2022-07-28,16500,10:15:00,99.85,15:15:00,191.4
140,EMA_15_CE_strategy,NIFTY,2022-08-02,CE,50,2022-08-04,17300,11:45:00,104.0,12:45:00,66.7
141,EMA_15_CE_strategy,NIFTY,2022-08-02,CE,50,2022-08-04,17300,13:45:00,91.2,15:15:00,125.05
142,EMA_15_CE_strategy,NIFTY,2022-08-03,CE,50,2022-08-04,17300,13:00:00,78.65,13:45:00,61.85
143,EMA_15_CE_strategy,NIFTY,2022-08-04,CE,50,2022-08-04,17300,14:45:00,37.8,15:15:00,86.4
144,EMA_15_CE_strategy,NIFTY,2022-08-05,CE,50,2022-08-11,17400,13:45:00,159.15,15:15:00,136.2
145,EMA_15_CE_strategy,NIFTY,2022-08-08,CE,50,2022-08-11,17500,09:45:00,94.45,14:45:00,109.65
146,EMA_15_CE_strategy,NIFTY,2022-08-08,CE,50,2022-08-11,17500,15:00:00,120.95,15:15:00,122.1
147,EMA_15_CE_strategy,NIFTY,2022-08-10,CE,50,2022-08-11,17500,10:30:00,104.4,11:15:00,91.45
148,EMA_15_CE_strategy,NIFTY,2022-08-10,CE,50,2022-08-11,17500,14:00:00,86.55,15:15:00,101.2
149,EMA_15_CE_strategy,NIFTY,2022-08-11,CE,50,2022-08-11,17700,14:30:00,10.45,15:15:00,0.15
150,EMA_15_CE_strategy,NIFTY,2022-08-12,CE,50,2022-08-18,17700,10:00:00,96.6,10:45:00,93.3
151,EMA_15_CE_strategy,NIFTY,2022-08-12,CE,50,2022-08-18,17700,11:00:00,103.0,14:30:00,106.3
152,EMA_15_CE_strategy,NIFTY,2022-08-16,CE,50,2022-08-18,17800,09:45:00,94.2,13:15:00,74.3
153,EMA_15_CE_strategy,NIFTY,2022-08-16,CE,50,2022-08-18,17800,13:45:00,78.6,15:15:00,94.65
154,EMA_15_CE_strategy,NIFTY,2022-08-18,CE,50,2022-08-18,18000,10:00:00,21.05,10:30:00,9.1
155,EMA_15_CE_strategy,NIFTY,2022-08-18,CE,50,2022-08-18,17900,13:15:00,23.5,13:45:00,16.35
156,EMA_15_CE_strategy,NIFTY,2022-08-18,CE,50,2022-08-18,17900,14:15:00,30.0,15:15:00,57.9
157,EMA_15_CE_strategy,NIFTY,2022-08-23,CE,50,2022-08-25,17500,09:45:00,124.0,10:15:00,110.05
158,EMA_15_CE_strategy,NIFTY,2022-08-23,CE,50,2022-08-25,17500,12:45:00,89.1,15:15:00,128.4
159,EMA_15_CE_strategy,NIFTY,2022-08-24,CE,50,2022-08-25,17600,10:15:00,63.75,12:00:00,53.8
160,EMA_15_CE_strategy,NIFTY,2022-08-24,CE,50,2022-08-25,17600,12:30:00,63.6,13:00:00,42.7
161,EMA_15_CE_strategy,NIFTY,2022-08-24,CE,50,2022-08-25,17600,14:15:00,50.75,15:15:00,74.55
162,EMA_15_CE_strategy,NIFTY,2022-08-25,CE,50,2022-08-25,17700,11:45:00,26.45,14:30:00,13.1
163,EMA_15_CE_strategy,NIFTY,2022-08-26,CE,50,2022-09-01,17700,09:45:00,113.95,11:15:00,94.75
164,EMA_15_CE_strategy,NIFTY,2022-08-26,CE,50,2022-09-01,17700,11:30:00,102.2,13:15:00,91.0
165,EMA_15_CE_strategy,NIFTY,2022-08-26,CE,50,2022-09-01,17700,14:15:00,94.4,15:15:00,90.35
166,EMA_15_CE_strategy,NIFTY,2022-08-29,CE,50,2022-09-01,17400,14:00:00,96.0,14:15:00,94.05
