,Date,Time,Ticker,Volume,Open,High,Low,Close,EMA_15,signal,ATMSP
272,2022-06-02,10:45:00,NIFTY-I.NFO,606250,16527.85,16534.65,16475.75,16492.5,16508.137429861526,Sell,0
273,2022-06-02,11:15:00,NIFTY-I.NFO,191100,16492.3,16518.1,16484.05,16518.1,16507.874750987732,Buy,16500
274,2022-06-02,15:00:00,NIFTY-I.NFO,601750,16624.45,16631.0,16583.05,16625.45,16584.20552347133,Sell,0
275,2022-06-03,14:00:00,NIFTY-I.NFO,375250,16684.0,16723.0,16675.4,16711.8,16706.49045462872,Buy,16700
276,2022-06-03,14:15:00,NIFTY-I.NFO,670650,16711.25,16718.0,16631.6,16650.9,16699.54164780013,Sell,0
277,2022-06-03,15:00:00,NIFTY-I.NFO,683550,16595.25,16615.0,16578.5,16603.85,16672.27350624111,Sell,0
278,2022-06-06,12:00:00,NIFTY-I.NFO,369550,16529.6,16565.0,16521.15,16564.9,16546.64740441288,Buy,16600
279,2022-06-06,15:00:00,NIFTY-I.NFO,389250,16606.3,16609.65,16568.05,16585.05,16581.984576867104,Sell,0
280,2022-06-07,14:15:00,NIFTY-I.NFO,420600,16401.7,16452.0,16394.75,16435.8,16420.490509539584,Buy,16400
281,2022-06-07,15:00:00,NIFTY-I.NFO,533900,16410.0,16440.0,16409.2,16429.55,16419.031337445464,Sell,0
282,2022-06-08,10:30:00,NIFTY-I.NFO,1802350,16382.4,16526.9,16378.0,16522.7,16416.865390916882,Buy,16500
283,2022-06-08,13:00:00,NIFTY-I.NFO,551450,16462.0,16468.0,16415.6,16418.0,16455.031860973064,Sell,0
284,2022-06-08,15:00:00,NIFTY-I.NFO,427800,16346.3,16383.85,16346.3,16372.9,16394.566305504406,Sell,0
285,2022-06-09,10:15:00,NIFTY-I.NFO,402300,16316.5,16374.95,16307.55,16372.6,16363.051707617768,Buy,16400
286,2022-06-09,11:15:00,NIFTY-I.NFO,221700,16367.65,16370.0,16340.0,16346.0,16364.959106442935,Sell,0
287,2022-06-09,12:00:00,NIFTY-I.NFO,188350,16348.45,16375.3,16344.2,16372.05,16363.287643574076,Buy,16400
288,2022-06-09,13:00:00,NIFTY-I.NFO,472400,16371.9,16375.85,16323.5,16341.3,16366.177961968104,Sell,0
289,2022-06-09,13:45:00,NIFTY-I.NFO,330600,16365.0,16383.8,16360.95,16373.75,16366.72976749035,Buy,16400
290,2022-06-09,15:00:00,NIFTY-I.NFO,881900,16457.2,16479.65,16451.1,16473.45,16405.265052862866,Sell,0
291,2022-06-10,15:00:00,NIFTY-I.NFO,785850,16218.9,16248.9,16216.1,16229.65,16233.565503657195,Sell,0
292,2022-06-14,15:00:00,NIFTY-I.NFO,426500,15706.35,15743.85,15702.0,15730.1,15751.393977302772,Sell,0
293,2022-06-15,10:00:00,NIFTY-I.NFO,458800,15723.65,15764.0,15707.5,15761.5,15741.129549162652,Buy,15800
294,2022-06-15,10:30:00,NIFTY-I.NFO,218050,15756.0,15756.0,15725.5,15738.75,15742.168717327655,Sell,0
295,2022-06-15,11:30:00,NIFTY-I.NFO,185000,15737.0,15760.0,15735.0,15745.2,15739.21064216399,Buy,15700
296,2022-06-15,14:00:00,NIFTY-I.NFO,188150,15784.3,15786.95,15751.0,15755.1,15760.596287145767,Sell,0
297,2022-06-15,15:00:00,NIFTY-I.NFO,941100,15738.1,15738.1,15691.0,15712.4,15749.809713241451,Sell,0
298,2022-06-16,09:30:00,NIFTY-I.NFO,612100,15833.85,15853.0,15795.0,15801.5,15757.068511106623,Buy,15800
299,2022-06-16,10:15:00,NIFTY-I.NFO,476200,15760.95,15768.05,15726.25,15735.85,15756.52812365151,Sell,0
300,2022-06-16,15:00:00,NIFTY-I.NFO,1017900,15368.25,15385.9,15340.65,15342.4,15465.252806134742,Sell,0
301,2022-06-17,13:15:00,NIFTY-I.NFO,412100,15271.25,15331.6,15262.95,15316.1,15310.441058692153,Buy,15300
302,2022-06-17,14:15:00,NIFTY-I.NFO,525000,15328.65,15329.55,15257.0,15276.7,15310.820356914026,Sell,0
303,2022-06-17,14:30:00,NIFTY-I.NFO,509550,15277.6,15344.15,15268.65,15341.1,15314.605312299773,Buy,15300
304,2022-06-17,15:00:00,NIFTY-I.NFO,1403400,15389.15,15397.0,15280.05,15290.95,15319.686879729514,Sell,0
305,2022-06-20,10:00:00,NIFTY-I.NFO,630450,15269.5,15329.0,15269.5,15307.8,15303.336207249824,Buy,15300
306,2022-06-20,11:15:00,NIFTY-I.NFO,194000,15295.0,15321.0,15276.6,15303.1,15298.821393897944,Buy,15300
307,2022-06-20,13:00:00,NIFTY-I.NFO,299900,15339.75,15344.0,15306.25,15322.05,15323.014005444,Sell,0
308,2022-06-20,15:00:00,NIFTY-I.NFO,663750,15282.5,15350.05,15270.65,15346.3,15308.515175846076,Sell,0
309,2022-06-22,15:00:00,NIFTY-I.NFO,570700,15421.1,15431.5,15388.2,15410.95,15424.91315511613,Sell,0
310,2022-06-23,09:30:00,NIFTY-I.NFO,1198100,15494.95,15548.95,15494.95,15546.0,15443.210421248494,Buy,15500
311,2022-06-23,11:45:00,NIFTY-I.NFO,1215500,15574.0,15575.0,15495.1,15510.0,15538.444610738503,Sell,0
312,2022-06-23,13:30:00,NIFTY-I.NFO,1556200,15389.8,15545.6,15378.2,15536.8,15484.236995583256,Buy,15500
313,2022-06-23,15:00:00,NIFTY-I.NFO,576050,15581.7,15583.25,15538.95,15575.5,15523.103784345147,Sell,0
314,2022-06-24,12:30:00,NIFTY-I.NFO,304850,15636.55,15677.85,15616.0,15670.65,15643.544214994181,Buy,15700
315,2022-06-24,13:30:00,NIFTY-I.NFO,178750,15665.0,15683.7,15635.25,15638.4,15650.30387211939,Sell,0
316,2022-06-24,13:45:00,NIFTY-I.NFO,261500,15641.35,15693.6,15636.0,15683.9,15654.503388104466,Buy,15700
317,2022-06-24,15:00:00,NIFTY-I.NFO,480750,15699.0,15725.0,15675.2,15724.15,15682.404934505365,Sell,0
318,2022-06-27,15:00:00,NIFTY-I.NFO,506350,15863.85,15863.85,15819.1,15838.65,15863.247476404455,Sell,0
319,2022-06-28,11:30:00,NIFTY-I.NFO,470000,15771.25,15794.25,15763.6,15785.1,15777.709254894733,Buy,15800
320,2022-06-28,12:15:00,NIFTY-I.NFO,194150,15794.25,15797.75,15770.05,15775.0,15781.498973493932,Sell,0
